latitude,longitude,elevation,time,speed,course,horizontal_dilution,vertical_dilution,position_dilution
-6.118485139,106.858802396,1.171,,,,,,
-6.118485688,106.858793379,1.141,,,,,,
-6.118486237,106.858784362,1.111,,,,,,
-6.118486787,106.858775345,1.082,,,,,,
-6.118487336,106.858766329,1.052,,,,,,
-6.118487885,106.858757312,1.023,,,,,,
-6.118488434,106.858748295,0.995,,,,,,
-6.118488984,106.858739278,0.966,,,,,,
-6.118489533,106.858730261,0.938,,,,,,
-6.118490081,106.858721244,0.91,,,,,,
-6.11849063,106.858712228,0.882,,,,,,
-6.118491178,106.858703211,0.855,,,,,,
-6.118491726,106.858694194,0.827,,,,,,
-6.118492274,106.858685177,0.8,,,,,,
-6.118492821,106.85867616,0.774,,,,,,
-6.118493368,106.858667143,0.747,,,,,,
-6.118493915,106.858658126,0.721,,,,,,
-6.118494462,106.858649109,0.695,,,,,,
-6.118495009,106.858640092,0.669,,,,,,
-6.118495555,106.858631075,0.644,,,,,,
-6.118496101,106.858622058,0.619,,,,,,
-6.118496647,106.858613041,0.594,,,,,,
-6.118497192,106.858604024,0.656,,,,,,
-6.118497737,106.858595007,0.742,,,,,,
-6.11849828,106.85858599,0.828,,,,,,
-6.118498821,106.858576972,0.915,,,,,,
-6.118499361,106.858567955,1.001,,,,,,
-6.118499899,106.858558937,1.088,,,,,,
-6.118500435,106.85854992,1.175,,,,,,
-6.118500968,106.858540902,1.262,,,,,,
-6.118501498,106.858531884,1.348,,,,,,
-6.118502026,106.858522866,1.436,,,,,,
-6.11850255,106.858513848,1.523,,,,,,
-6.118503071,106.858504829,1.61,,,,,,
-6.118503589,106.85849581,1.697,,,,,,
-6.118504103,106.858486791,1.785,,,,,,
-6.118504613,106.858477772,1.873,,,,,,
-6.118505119,106.858468753,1.96,,,,,,
-6.118505621,106.858459733,2.048,,,,,,
-6.118506118,106.858450713,2.136,,,,,,
-6.118506611,106.858441693,2.224,,,,,,
-6.118507098,106.858432673,2.312,,,,,,
-6.11850758,106.858423652,2.4,,,,,,
-6.118508057,106.858414631,2.489,,,,,,
-6.118508529,106.85840561,2.577,,,,,,
-6.118508995,106.858396588,2.665,,,,,,
-6.118509455,106.858387566,2.754,,,,,,
-6.118509909,106.858378544,2.842,,,,,,
-6.118510358,106.858369522,2.931,,,,,,
-6.118510801,106.858360499,3.02,,,,,,
-6.118511237,106.858351476,3.108,,,,,,
-6.118511668,106.858342453,3.197,,,,,,
-6.118512093,106.858333429,3.286,,,,,,
-6.118512512,106.858324405,3.396,,,,,,
-6.118512926,106.858315381,3.506,,,,,,
-6.118513335,106.858306357,3.616,,,,,,
-6.118513739,106.858297332,3.726,,,,,,
-6.118514139,106.858288307,3.837,,,,,,
-6.118514535,106.858279282,3.948,,,,,,
-6.118514928,106.858270257,4.059,,,,,,
-6.118515317,106.858261232,4.17,,,,,,
-6.118515703,106.858252207,4.281,,,,,,
-6.118516085,106.858243181,4.392,,,,,,
-6.118516465,106.858234156,4.503,,,,,,
-6.118516843,106.85822513,4.615,,,,,,
-6.118517217,106.858216104,4.727,,,,,,
-6.118517588,106.858207078,4.839,,,,,,
-6.118517956,106.858198052,4.951,,,,,,
-6.118518321,106.858189026,5.063,,,,,,
-6.118518683,106.858179999,5.175,,,,,,
-6.118519043,106.858170973,5.288,,,,,,
-6.118519401,106.858161946,5.4,,,,,,
-6.118519757,106.85815292,5.513,,,,,,
-6.118520111,106.858143893,5.626,,,,,,
-6.118520464,106.858134866,5.739,,,,,,
-6.118520815,106.858125839,5.852,,,,,,
-6.118521165,106.858116812,5.965,,,,,,
-6.118521515,106.858107786,6.079,,,,,,
-6.118521863,106.858098759,6.193,,,,,,
-6.11852221,106.858089732,6.306,,,,,,
-6.118522557,106.858080705,6.42,,,,,,
-6.118522903,106.858071678,6.535,,,,,,
-6.11852325,106.858062651,6.649,,,,,,
-6.118523596,106.858053624,6.735,,,,,,
-6.118523943,106.858044597,6.715,,,,,,
-6.118524291,106.85803557,6.696,,,,,,
-6.118524639,106.858026543,6.676,,,,,,
-6.118524989,106.858017516,6.656,,,,,,
-6.118525341,106.858008489,6.635,,,,,,
-6.118525693,106.857999462,6.614,,,,,,
-6.118526048,106.857990436,6.593,,,,,,
-6.118526404,106.857981409,6.572,,,,,,
-6.118526761,106.857972382,6.55,,,,,,
-6.118527121,106.857963356,6.528,,,,,,
-6.118527483,106.85795433,6.506,,,,,,
-6.118527848,106.857945303,6.483,,,,,,
-6.118528216,106.857936277,6.46,,,,,,
-6.118528586,106.857927251,6.437,,,,,,
-6.118528961,106.857918225,6.413,,,,,,
-6.11852934,106.8579092,6.389,,,,,,
-6.118529723,106.857900174,6.365,,,,,,
-6.118530111,106.857891149,6.34,,,,,,
-6.118530504,106.857882124,6.315,,,,,,
-6.118530902,106.857873099,6.29,,,,,,
-6.118531304,106.857864074,6.264,,,,,,
-6.118531713,106.85785505,6.238,,,,,,
-6.118532126,106.857846026,6.212,,,,,,
-6.118532543,106.857837002,6.185,,,,,,
-6.118532966,106.857827978,6.158,,,,,,
-6.118533395,106.857818955,6.131,,,,,,
-6.118533829,106.857809931,6.103,,,,,,
-6.11853427,106.857800909,6.074,,,,,,
-6.118534714,106.857791886,6.046,,,,,,
-6.118535162,106.857782863,6.017,,,,,,
-6.11853562,106.857773841,6.008,,,,,,
-6.1185361,106.857764821,6.025,,,,,,
-6.118536619,106.857755802,6.042,,,,,,
-6.118537173,106.857746785,6.059,,,,,,
-6.118537747,106.85773777,6.076,,,,,,
-6.118538326,106.857728755,6.092,,,,,,
-6.118538902,106.85771974,6.109,,,,,,
-6.118539482,106.857710725,6.124,,,,,,
-6.118540069,106.857701711,6.14,,,,,,
-6.118540663,106.857692697,6.155,,,,,,
-6.118541265,106.857683683,6.17,,,,,,
-6.118541874,106.85767467,6.185,,,,,,
-6.118542488,106.857665658,6.199,,,,,,
-6.11854311,106.857656646,6.214,,,,,,
-6.118543738,106.857647634,6.227,,,,,,
-6.118544372,106.857638623,6.241,,,,,,
-6.118545014,106.857629612,6.254,,,,,,
-6.118545661,106.857620602,6.267,,,,,,
-6.118546314,106.857611592,6.279,,,,,,
-6.118546973,106.857602583,6.291,,,,,,
-6.118547638,106.857593574,6.303,,,,,,
-6.11854831,106.857584565,6.315,,,,,,
-6.118548987,106.857575557,6.326,,,,,,
-6.118549671,106.85756655,6.336,,,,,,
-6.118550361,106.857557543,6.347,,,,,,
-6.118551059,106.857548536,6.357,,,,,,
-6.118551763,106.857539531,6.366,,,,,,
-6.118552475,106.857530525,6.376,,,,,,
-6.118553195,106.857521521,6.385,,,,,,
-6.118553922,106.857512517,6.393,,,,,,
-6.118554656,106.857503513,6.401,,,,,,
-6.118555399,106.85749451,6.377,,,,,,
-6.118556149,106.857485508,6.333,,,,,,
-6.118556908,106.857476507,6.289,,,,,,
-6.118557676,106.857467506,6.245,,,,,,
-6.118558451,106.857458506,6.201,,,,,,
-6.118559235,106.857449507,6.158,,,,,,
-6.118560028,106.857440508,6.114,,,,,,
-6.118560829,106.857431511,6.071,,,,,,
-6.11856164,106.857422514,6.028,,,,,,
-6.118562461,106.857413518,5.984,,,,,,
-6.118563293,106.857404523,5.941,,,,,,
-6.118564132,106.857395529,5.899,,,,,,
-6.118564972,106.857386535,5.856,,,,,,
-6.118565808,106.85737754,5.813,,,,,,
-6.118566629,106.857368544,5.771,,,,,,
-6.118567423,106.857359546,5.729,,,,,,
-6.118568186,106.857350545,5.688,,,,,,
-6.118568932,106.857341542,5.647,,,,,,
-6.118569682,106.85733254,5.606,,,,,,
-6.11857045,106.857323539,5.565,,,,,,
-6.118571233,106.85731454,5.524,,,,,,
-6.118572025,106.857305541,5.483,,,,,,
-6.118572822,106.857296543,5.442,,,,,,
-6.118573626,106.857287546,5.402,,,,,,
-6.118574436,106.857278549,5.362,,,,,,
-6.118575255,106.857269553,5.321,,,,,,
-6.118576081,106.857260557,5.282,,,,,,
-6.118576913,106.857251563,5.242,,,,,,
-6.118577752,106.857242568,5.202,,,,,,
-6.118578596,106.857233575,5.163,,,,,,
-6.118579447,106.857224581,5.123,,,,,,
-6.118580304,106.857215589,5.055,,,,,,
-6.118581168,106.857206597,4.977,,,,,,
-6.118582038,106.857197606,4.9,,,,,,
-6.118582914,106.857188615,4.823,,,,,,
-6.118583797,106.857179625,4.746,,,,,,
-6.118584687,106.857170636,4.671,,,,,,
-6.118585583,106.857161647,4.596,,,,,,
-6.118586485,106.857152659,4.521,,,,,,
-6.118587394,106.857143672,4.447,,,,,,
-6.118588309,106.857134685,4.374,,,,,,
-6.11858923,106.857125699,4.302,,,,,,
-6.118590158,106.857116714,4.23,,,,,,
-6.118591093,106.857107729,4.159,,,,,,
-6.118592034,106.857098745,4.088,,,,,,
-6.118592981,106.857089762,4.018,,,,,,
-6.118593935,106.857080779,3.949,,,,,,
-6.118594895,106.857071797,3.88,,,,,,
-6.118595861,106.857062816,3.813,,,,,,
-6.118596833,106.857053835,3.746,,,,,,
-6.118597811,106.857044855,3.679,,,,,,
-6.118598795,106.857035876,3.613,,,,,,
-6.118599785,106.857026897,3.548,,,,,,
-6.11860078,106.857017919,3.484,,,,,,
-6.118601781,106.857008941,3.421,,,,,,
-6.118602788,106.856999964,3.358,,,,,,
-6.1186038,106.856990988,3.296,,,,,,
-6.118604817,106.856982013,3.234,,,,,,
-6.118605841,106.856973038,3.174,,,,,,
-6.11860687,106.856964064,3.114,,,,,,
-6.118607905,106.85695509,3.055,,,,,,
-6.118608945,106.856946117,2.997,,,,,,
-6.118609992,106.856937145,2.887,,,,,,
-6.118611044,106.856928173,2.765,,,,,,
-6.118612102,106.856919202,2.644,,,,,,
-6.118613164,106.856910232,2.522,,,,,,
-6.118614229,106.856901262,2.401,,,,,,
-6.1186153,106.856892293,2.279,,,,,,
-6.118616378,106.856883324,2.158,,,,,,
-6.118617465,106.856874357,2.036,,,,,,
-6.118618561,106.856865391,1.915,,,,,,
-6.118619669,106.856856426,1.794,,,,,,
-6.118620787,106.856847463,1.673,,,,,,
-6.118621913,106.8568385,1.552,,,,,,
-6.118623044,106.856829538,1.431,,,,,,
-6.118624176,106.856820577,1.31,,,,,,
-6.11862531,106.856811615,1.189,,,,,,
-6.118626445,106.856802654,1.069,,,,,,
-6.118627582,106.856793693,0.948,,,,,,
-6.118628721,106.856784732,0.827,,,,,,
-6.11862986,106.856775771,0.706,,,,,,
-6.118631,106.856766811,0.585,,,,,,
-6.11863214,106.85675785,0.464,,,,,,
-6.11863328,106.856748889,0.344,,,,,,
-6.118634419,106.856739928,0.223,,,,,,
-6.118635558,106.856730968,0.102,,,,,,
-6.118636695,106.856722007,-0.019,,,,,,
-6.118637831,106.856713045,-0.14,,,,,,
-6.118638965,106.856704084,-0.261,,,,,,
-6.118640096,106.856695122,-0.382,,,,,,
-6.118641225,106.85668616,-0.502,,,,,,
-6.118642351,106.856677198,-0.623,,,,,,
-6.118643474,106.856668235,-0.744,,,,,,
-6.118644593,106.856659271,-0.792,,,,,,
-6.118645708,106.856650308,-0.824,,,,,,
-6.118646819,106.856641343,-0.858,,,,,,
-6.118647926,106.856632378,-0.891,,,,,,
-6.118649029,106.856623413,-0.925,,,,,,
-6.118650128,106.856614447,-0.96,,,,,,
-6.118651221,106.856605481,-0.995,,,,,,
-6.11865231,106.856596513,-1.031,,,,,,
-6.118653394,106.856587546,-1.067,,,,,,
-6.118654473,106.856578577,-1.104,,,,,,
-6.118655546,106.856569608,-1.141,,,,,,
-6.118656613,106.856560639,-1.179,,,,,,
-6.118657674,106.856551668,-1.218,,,,,,
-6.118658729,106.856542697,-1.256,,,,,,
-6.118659778,106.856533725,-1.296,,,,,,
-6.11866082,106.856524752,-1.336,,,,,,
-6.118661855,106.856515779,-1.376,,,,,,
-6.118662879,106.856506804,-1.417,,,,,,
-6.118663894,106.856497828,-1.459,,,,,,
-6.118664904,106.856488852,-1.501,,,,,,
-6.118665914,106.856479875,-1.543,,,,,,
-6.118666924,106.856470899,-1.586,,,,,,
-6.118667914,106.85646192,-1.63,,,,,,
-6.118668865,106.856452937,-1.674,,,,,,
-6.118669768,106.856443949,-1.718,,,,,,
-6.118670629,106.856434957,-1.763,,,,,,
-6.118671453,106.856425961,-1.809,,,,,,
-6.118672251,106.856416963,-1.854,,,,,,
-6.118673028,106.856407963,-1.901,,,,,,
-6.118673793,106.856398962,-1.947,,,,,,
-6.118674548,106.856389961,-1.994,,,,,,
-6.118675294,106.856380958,-1.985,,,,,,
-6.11867603,106.856371955,-1.968,,,,,,
-6.118676752,106.85636295,-1.951,,,,,,
-6.118677453,106.856353944,-1.934,,,,,,
-6.118678124,106.856344935,-1.918,,,,,,
-6.118678753,106.856335923,-1.902,,,,,,
-6.11867932,106.856326908,-1.886,,,,,,
-6.118679806,106.856317888,-1.871,,,,,,
-6.118680219,106.856308864,-1.855,,,,,,
-6.118680586,106.856299837,-1.84,,,,,,
-6.118680937,106.85629081,-1.824,,,,,,
-6.118681262,106.856281781,-1.809,,,,,,
-6.118681515,106.856272751,-1.794,,,,,,
-6.118681649,106.856263719,-1.778,,,,,,
-6.118681636,106.856254684,-1.762,,,,,,
-6.11868147,106.856245651,-1.746,,,,,,
-6.118681142,106.856236622,-1.728,,,,,,
-6.118680642,106.8562276,-1.71,,,,,,
-6.118679957,106.856218592,-1.691,,,,,,
-6.118679074,106.856209601,-1.67,,,,,,
-6.118677997,106.856200632,-1.649,,,,,,
-6.118676749,106.856191684,-1.626,,,,,,
-6.118675352,106.856182759,-1.601,,,,,,
-6.118673818,106.856173858,-1.575,,,,,,
-6.118672146,106.856164982,-1.548,,,,,,
-6.118670333,106.856156131,-1.519,,,,,,
-6.118668356,106.856147314,-1.489,,,,,,
-6.118666158,106.856138553,-1.456,,,,,,
-6.118663681,106.85612987,-1.42,,,,,,
-6.118660911,106.856121276,-1.382,,,,,,
-6.118657908,106.856112758,-1.341,,,,,,
-6.118654742,106.856104302,-1.29,,,,,,
-6.118651464,106.856095898,-1.236,,,,,,
-6.118648072,106.856087537,-1.181,,,,,,
-6.118644552,106.856079215,-1.126,,,,,,
-6.118640875,106.85607094,-1.07,,,,,,
-6.118636927,106.856062804,-1.012,,,,,,
-6.118632567,106.856054921,-0.952,,,,,,
-6.118627684,106.856047385,-0.89,,,,,,
-6.118622436,106.856040075,-0.826,,,,,,
-6.118617124,106.85603276,-0.761,,,,,,
-6.118612022,106.856025233,-0.697,,,,,,
-6.118606925,106.856017715,-0.619,,,,,,
-6.118601235,106.856010779,-0.532,,,,,,
-6.11859446,106.856004896,-0.438,,,,,,
-6.118587255,106.855999426,-0.34,,,,,,
-6.118580895,106.855993133,-0.249,,,,,,
-6.118575489,106.855985895,-0.165,,,,,,
-6.118569639,106.855979031,-0.077,,,,,,
-6.118562922,106.855973003,0.018,,,,,,
-6.118555715,106.855967564,0.115,,,,,,
-6.118548323,106.855962434,0.213,,,,,,
-6.118540929,106.855957316,0.312,,,,,,
-6.118533713,106.855951934,0.409,,,,,,
-6.11852683,106.855946099,0.504,,,,,,
-6.118520067,106.855940124,0.599,,,,,,
-6.118513006,106.855934597,0.695,,,,,,
-6.118505359,106.85592993,0.794,,,,,,
-6.118497265,106.855925951,0.896,,,,,,
-6.118488949,106.85592237,0.999,,,,,,
-6.1184806,106.855918944,1.101,,,,,,
-6.118472236,106.855915658,1.203,,,,,,
-6.118463814,106.855912572,1.306,,,,,,
-6.118455299,106.855909737,1.408,,,,,,
-6.118446696,106.855907137,1.51,,,,,,
-6.118438031,106.855904721,1.612,,,,,,
-6.11842933,106.855902444,1.714,,,,,,
-6.118420596,106.855900317,1.816,,,,,,
-6.118411818,106.855898405,1.918,,,,,,
-6.118402985,106.855896771,2.019,,,,,,
-6.118394095,106.855895453,2.12,,,,,,
-6.118385162,106.85589445,2.22,,,,,,
-6.118376204,106.855893757,2.319,,,,,,
-6.118367231,106.855893344,2.418,,,,,,
-6.11835825,106.855893139,2.516,,,,,,
-6.118349264,106.855893064,2.613,,,,,,
-6.118340278,106.855893081,2.71,,,,,,
-6.118331297,106.855893242,2.806,,,,,,
-6.118322324,106.855893615,2.902,,,,,,
-6.118313364,106.855894249,2.996,,,,,,
-6.118304421,106.855895124,3.09,,,,,,
-6.1182955,106.855896209,3.182,,,,,,
-6.118286605,106.855897481,3.274,,,,,,
-6.11827774,106.855898939,3.364,,,,,,
-6.118268908,106.85590059,3.454,,,,,,
-6.118260115,106.855902434,3.542,,,,,,
-6.118251359,106.855904459,3.629,,,,,,
-6.118242644,106.855906651,3.716,,,,,,
-6.118233969,106.855908998,3.801,,,,,,
-6.118225336,106.855911497,3.885,,,,,,
-6.118216748,106.855914144,3.968,,,,,,
-6.1182082,106.855916917,4.051,,,,,,
-6.118199668,106.855919745,4.133,,,,,,
-6.118191129,106.855922549,4.215,,,,,,
-6.118182569,106.855925284,4.297,,,,,,
-6.118174004,106.855928007,4.38,,,,,,
-6.11816546,106.855930792,4.462,,,,,,
-6.118156953,106.855933694,4.544,,,,,,
-6.118148481,106.855936697,4.624,,,,,,
-6.118140034,106.85593977,4.704,,,,,,
-6.118131606,106.855942894,4.784,,,,,,
-6.118123201,106.855946079,4.864,,,,,,
-6.118114826,106.855949347,4.942,,,,,,
-6.118106474,106.855952682,5.02,,,,,,
-6.118098107,106.855955971,5.099,,,,,,
-6.118089677,106.85595908,5.179,,,,,,
-6.118081153,106.855961918,5.261,,,,,,
-6.118072567,106.855964575,5.344,,,,,,
-6.118063964,106.855967185,5.427,,,,,,
-6.118055383,106.855969862,5.509,,,,,,
-6.118046828,106.855972614,5.53,,,,,,
-6.118038289,106.855975415,5.549,,,,,,
-6.118029759,106.855978243,5.567,,,,,,
-6.118021237,106.855981101,5.584,,,,,,
-6.118012729,106.855983996,5.599,,,,,,
-6.118004235,106.855986935,5.612,,,,,,
-6.117995758,106.855989921,5.624,,,,,,
-6.117987296,106.855992951,5.634,,,,,,
-6.11797885,106.855996027,5.643,,,,,,
-6.11797042,106.855999146,5.65,,,,,,
-6.117962006,106.85600231,5.656,,,,,,
-6.117953609,106.856005518,5.659,,,,,,
-6.117945232,106.856008778,5.661,,,,,,
-6.11793688,106.8560121,5.661,,,,,,
-6.117928551,106.856015483,5.659,,,,,,
-6.117920236,106.856018898,5.655,,,,,,
-6.117911919,106.856022313,5.65,,,,,,
-6.117903589,106.856025695,5.644,,,,,,
-6.117895233,106.856029011,5.637,,,,,,
-6.11788684,106.856032226,5.629,,,,,,
-6.117878405,106.85603533,5.621,,,,,,
-6.117869951,106.856038385,5.612,,,,,,
-6.11786151,106.856041473,5.601,,,,,,
-6.117853106,106.856044662,5.588,,,,,,
-6.117844741,106.856047954,5.572,,,,,,
-6.117836411,106.856051336,5.555,,,,,,
-6.117828115,106.856054799,5.535,,,,,,
-6.117819854,106.856058348,5.512,,,,,,
-6.117811636,106.856061994,5.487,,,,,,
-6.117803463,106.856065743,5.46,,,,,,
-6.11779534,106.856069599,5.429,,,,,,
-6.117787269,106.856073566,5.396,,,,,,
-6.117779254,106.856077646,5.36,,,,,,
-6.117771299,106.856081842,5.269,,,,,,
-6.117763409,106.85608616,5.166,,,,,,
-6.117755586,106.856090602,5.062,,,,,,
-6.117747836,106.85609517,4.957,,,,,,
-6.117740163,106.856099868,4.851,,,,,,
-6.117732572,106.856104698,4.744,,,,,,
-6.117725066,106.856109662,4.636,,,,,,
-6.11771765,106.85611476,4.531,,,,,,
-6.117710328,106.856119996,4.426,,,,,,
-6.117703106,106.856125369,4.322,,,,,,
-6.117695987,106.85613088,4.219,,,,,,
-6.117688977,106.85613653,4.115,,,,,,
-6.117682077,106.856142316,4.013,,,,,,
-6.11767529,106.856148235,3.91,,,,,,
-6.117668619,106.856154286,3.809,,,,,,
-6.117662071,106.856160472,3.708,,,,,,
-6.117655658,106.856166799,3.607,,,,,,
-6.117649386,106.856173269,3.508,,,,,,
-6.117643256,106.856179876,3.409,,,,,,
-6.117637266,106.856186608,3.31,,,,,,
-6.117631407,106.856193451,3.213,,,,,,
-6.117625604,106.856200343,3.117,,,,,,
-6.117619748,106.856207197,3.021,,,,,,
-6.117613753,106.856213943,2.927,,,,,,
-6.117607775,106.856220701,2.834,,,,,,
-6.117602111,106.856227701,2.741,,,,,,
-6.117596989,106.856235118,2.65,,,,,,
-6.117592085,106.856242703,2.559,,,,,,
-6.117586817,106.856250002,2.469,,,,,,
-6.117580909,106.856256803,2.381,,,,,,
-6.117574872,106.856263506,2.294,,,,,,
-6.117569282,106.85627056,2.208,,,,,,
-6.117564161,106.856277984,2.122,,,,,,
-6.117559213,106.85628555,2.037,,,,,,
-6.117554151,106.85629303,1.952,,,,,,
-6.117548701,106.856300199,1.87,,,,,,
-6.117542727,106.856306939,1.789,,,,,,
-6.117536604,106.856313558,1.71,,,,,,
-6.117530804,106.856320446,1.631,,,,,,
-6.117525411,106.856327669,1.552,,,,,,
-6.117520204,106.856335046,1.475,,,,,,
-6.11751499,106.856342415,1.398,,,,,,
-6.11750981,106.856349797,1.322,,,,,,
-6.117504798,106.856357286,1.247,,,,,,
-6.117500064,106.856364956,1.173,,,,,,
-6.117495583,106.856372788,1.131,,,,,,
-6.117491289,106.856380732,1.089,,,,,,
-6.117487126,106.856388745,1.047,,,,,,
-6.117483105,106.856396825,1.032,,,,,,
-6.117479261,106.856404987,1.017,,,,,,
-6.117475622,106.856413242,1.0,,,,,,
-6.117472161,106.856421577,0.983,,,,,,
-6.117468823,106.856429968,0.964,,,,,,
-6.117465561,106.856438394,0.946,,,,,,
-6.11746242,106.856446863,0.927,,,,,,
